epoch,train_loss,macro_f1,weighted_f1,accuracy,confusion,thresholds,auroc_immune_cold,auprc_immune_cold,f1_immune_cold,auroc_immune_hot,auprc_immune_hot,f1_immune_hot,auroc_normal,auprc_normal,f1_normal,auroc_necrotic,auprc_necrotic,f1_necrotic,mes_auroc,mes_auprc,mes_pearson
22,13.336794838309288,0.3731540534815335,0.6549181844418482,0.6972977008062108,"[[7833, 697, 108, 0], [9, 3, 3, 0], [1211, 0, 1504, 0], [1877, 79, 71, 1]]","[0.550000011920929, 0.07500000298023224, 0.3499999940395355, 0.05000000074505806]",0.7520298127446677,0.8398756311742273,0.8005928045789044,0.7829908078618937,0.0030009379824017294,0.007556675062972292,0.8586991444335073,0.750648175302156,0.6834810270393092,0.8873718330425417,0.6939699419395323,0.0009857072449482504,0.870873728920177,0.5436022817590734,0.5136358807446137
23,13.313167005777359,0.5406713725227698,0.7856505708937414,0.7920274708868319,"[[8131, 247, 142, 118], [6, 0, 2, 7], [1198, 0, 1517, 0], [998, 33, 35, 962]]","[0.675000011920929, 0.05000000074505806, 0.2750000059604645, 0.07500000298023224]",0.8020537253838261,0.8632172360786632,0.8572030994676084,0.769489076551329,0.0038305388948542346,0.0,0.860816792628276,0.7556651825712648,0.6878258898209023,0.900929431658401,0.723284545067454,0.6176565008025682,0.8317053118692463,0.4734432088727987,0.45305997443077656
24,13.023288637399673,0.3779127282325411,0.6071888188953897,0.5748730964467005,"[[5597, 2779, 262, 0], [14, 1, 0, 0], [332, 283, 2100, 0], [1857, 167, 1, 3]]","[0.22499999403953552, 0.10000000149011612, 0.550000011920929, 0.05000000074505806]",0.6852579041880792,0.753178881816441,0.680983087966906,0.5360585905388238,0.0011858725742638011,0.0006163328197226503,0.9529969828181503,0.8858323391509149,0.8270972823946435,0.851538350496289,0.5383348216636458,0.0029542097488921715,0.7249517003342141,0.31980404625053915,0.305650242701032
25,12.490784645080566,0.42520638303923397,0.7209949412638492,0.7851597491788593,"[[8275, 0, 363, 0], [15, 0, 0, 0], [480, 0, 2235, 0], [2018, 0, 2, 8]]","[0.32499998807907104, 0.05000000074505806, 0.574999988079071, 0.05000000074505806]",0.714128936619438,0.7705819762988184,0.8519509935138474,0.6900729890640959,0.0018247815475004384,0.0,0.9785605426961664,0.9158773322676809,0.8410159924741298,0.8668995602729971,0.5798323016221055,0.007858546168958742,0.8166672273366263,0.4134947795207091,0.4288030016091829
26,12.198866307735443,0.43062614319254056,0.6985981813059873,0.7366378023290534,"[[8147, 50, 431, 10], [11, 0, 0, 4], [1349, 0, 1366, 0], [1610, 33, 30, 355]]","[0.17499999701976776, 0.17499999701976776, 0.7250000238418579, 0.05000000074505806]",0.6575794866539346,0.7531057111661724,0.8248038471273096,0.7488129935480656,0.00402941046605613,0.0,0.9044428731212875,0.7635817721091075,0.6014971378247468,0.9198064708437957,0.7615094634610989,0.29620358781810596,0.7918171723636205,0.35516419049588516,0.39323022956727677
27,11.820039540529251,0.5811569013720889,0.819997541129575,0.8126306360107495,"[[7516, 398, 517, 207], [8, 0, 0, 7], [347, 5, 2362, 1], [951, 63, 6, 1008]]","[0.5, 0.05000000074505806, 0.550000011920929, 0.17499999701976776]",0.8656855671894065,0.9079844231541421,0.8609392898052692,0.6625663253867423,0.0018293808526115784,0.0,0.965694544088977,0.9024354624072662,0.8435714285714285,0.9124582767712268,0.7300553373945524,0.6201168871116579,0.7998394295935278,0.44589196709296675,0.40123688918322276
28,10.854983359575272,0.19601524916038848,0.5055777014772874,0.6448193490594207,"[[8638, 0, 0, 0], [15, 0, 0, 0], [2715, 0, 0, 0], [2028, 0, 0, 0]]","[0.05000000074505806, 0.05000000074505806, 0.32499998807907104, 0.05000000074505806]",0.5555505473970017,0.6979873867528796,0.7840609966415539,0.7383952370276262,0.002331476205564293,0.0,0.7702467144029354,0.4080376854383587,0.0,0.8997633153445014,0.6901544744647219,0.0,0.7653360327540655,0.3947981856620056,0.35995274025008556
29,9.969257965683937,0.5145923434653075,0.7211634980172626,0.6799790982382801,"[[6564, 1499, 374, 201], [8, 1, 0, 6], [1319, 0, 1396, 0], [592, 209, 79, 1148]]","[0.42500001192092896, 0.07500000298023224, 0.4749999940395355, 0.05000000074505806]",0.7587286729088679,0.843210085498661,0.7667776414929035,0.7125526243678848,0.0021668608232080448,0.001160092807424594,0.8661534060843311,0.7328158386903915,0.6117440841367222,0.9269764552423705,0.7863191016443372,0.6786875554241797,0.8286395548554019,0.4607783556963489,0.4466480964243848
30,9.54215507209301,0.47430199272592116,0.7388387653158387,0.7610480740519558,"[[7951, 348, 265, 74], [14, 0, 0, 1], [811, 12, 1891, 1], [1637, 30, 8, 353]]","[0.375, 0.05000000074505806, 0.5249999761581421, 0.05000000074505806]",0.7335595131281557,0.8013874566999679,0.8347068395359823,0.6451436115885708,0.0017027028755940137,0.0,0.9565310115912958,0.8743312126399868,0.775158844025415,0.8922955991211011,0.6235169256627213,0.28734228734228734,0.7348123943615746,0.33802210605277794,0.3298450496410429
31,9.110950112342834,0.5548723181529811,0.7850895248077798,0.7774708868318901,"[[7293, 375, 760, 210], [8, 0, 0, 7], [671, 2, 2041, 1], [887, 30, 30, 1081]]","[0.6000000238418579, 0.05000000074505806, 0.32499998807907104, 0.10000000149011612]",0.8044773010465015,0.8674146845520964,0.8336286220494942,0.7096629549361034,0.00208309052704706,0.0,0.939600326426006,0.8018794452524044,0.7360259646592139,0.9284943930643059,0.7795173525314041,0.6498346859032161,0.8268854920494264,0.47287830010034165,0.448612717036712
